index,char,confidence,source
0,あ,CONFIRMED,manual_ocr
1,い,CONFIRMED,manual_ocr
2,う,CONFIRMED,manual_ocr
3,え,CONFIRMED,manual_ocr
4,お,CONFIRMED,manual_ocr
5,か,CONFIRMED,manual_ocr
6,き,CONFIRMED,manual_ocr
7,く,CONFIRMED,manual_ocr
8,け,CONFIRMED,manual_ocr
9,こ,CONFIRMED,manual_ocr
10,さ,CONFIRMED,manual_ocr
11,し,CONFIRMED,manual_ocr
12,す,CONFIRMED,manual_ocr
13,せ,CONFIRMED,manual_ocr
14,そ,CONFIRMED,manual_ocr
15,た,CONFIRMED,manual_ocr
16,ち,CONFIRMED,manual_ocr
17,つ,CONFIRMED,manual_ocr
18,て,CONFIRMED,manual_ocr
19,と,CONFIRMED,manual_ocr
20,な,CONFIRMED,manual_ocr
21,に,CONFIRMED,manual_ocr
22,ぬ,CONFIRMED,manual_ocr
23,ね,CONFIRMED,manual_ocr
24,の,CONFIRMED,manual_ocr
25,は,CONFIRMED,manual_ocr
26,ひ,CONFIRMED,manual_ocr
27,ふ,CONFIRMED,manual_ocr
28,へ,CONFIRMED,manual_ocr
29,ほ,CONFIRMED,manual_ocr
30,ま,CONFIRMED,manual_ocr
31,み,CONFIRMED,manual_ocr
32,む,CONFIRMED,manual_ocr
33,め,CONFIRMED,manual_ocr
34,も,CONFIRMED,manual_ocr
35,や,CONFIRMED,manual_ocr
36,ゆ,CONFIRMED,manual_ocr
37,よ,CONFIRMED,manual_ocr
38,ら,CONFIRMED,manual_ocr
39,り,CONFIRMED,manual_ocr
40,る,CONFIRMED,manual_ocr
41,れ,CONFIRMED,manual_ocr
42,ろ,CONFIRMED,manual_ocr
43,わ,CONFIRMED,manual_ocr
44,を,CONFIRMED,manual_ocr
45,ん,CONFIRMED,manual_ocr
46,が,CONFIRMED,manual_ocr
47,ぎ,CONFIRMED,manual_ocr
48,ぐ,CONFIRMED,manual_ocr
49,げ,CONFIRMED,manual_ocr
50,ご,CONFIRMED,manual_ocr
51,ざ,CONFIRMED,manual_ocr
52,じ,CONFIRMED,manual_ocr
53,ず,CONFIRMED,manual_ocr
54,ぜ,CONFIRMED,manual_ocr
55,ぞ,CONFIRMED,manual_ocr
56,だ,CONFIRMED,manual_ocr
57,ぢ,CONFIRMED,manual_ocr
58,づ,CONFIRMED,manual_ocr
59,で,CONFIRMED,manual_ocr
60,ど,CONFIRMED,manual_ocr
61,ば,CONFIRMED,manual_ocr
62,び,CONFIRMED,manual_ocr
63,ぶ,CONFIRMED,manual_ocr
64,べ,CONFIRMED,manual_ocr
65,ぼ,CONFIRMED,manual_ocr
66,ぱ,CONFIRMED,manual_ocr
67,ぴ,CONFIRMED,manual_ocr
68,ぷ,CONFIRMED,manual_ocr
69,ぺ,CONFIRMED,manual_ocr
70,ぽ,CONFIRMED,manual_ocr
71,ぁ,CONFIRMED,manual_ocr
72,ぃ,CONFIRMED,manual_ocr
73,ぅ,CONFIRMED,manual_ocr
74,ぇ,CONFIRMED,manual_ocr
75,ぉ,CONFIRMED,manual_ocr
76,ゃ,CONFIRMED,manual_ocr
77,ゅ,CONFIRMED,manual_ocr
78,ょ,CONFIRMED,manual_ocr
79,っ,CONFIRMED,manual_ocr
80,ゎ,CONFIRMED,manual_ocr
81,ア,CONFIRMED,manual_ocr
82,イ,CONFIRMED,manual_ocr
83,ウ,CONFIRMED,manual_ocr
84,エ,CONFIRMED,manual_ocr
85,オ,CONFIRMED,manual_ocr
86,カ,CONFIRMED,manual_ocr
87,キ,CONFIRMED,manual_ocr
88,ク,CONFIRMED,manual_ocr
89,ケ,CONFIRMED,manual_ocr
90,コ,CONFIRMED,manual_ocr
91,サ,CONFIRMED,manual_ocr
92,シ,CONFIRMED,manual_ocr
93,ス,CONFIRMED,manual_ocr
94,セ,CONFIRMED,manual_ocr
95,ソ,CONFIRMED,manual_ocr
96,タ,CONFIRMED,manual_ocr
97,チ,CONFIRMED,manual_ocr
98,ツ,CONFIRMED,manual_ocr
99,テ,CONFIRMED,manual_ocr
100,ト,CONFIRMED,manual_ocr
101,ナ,CONFIRMED,manual_ocr
102,ニ,CONFIRMED,manual_ocr
103,ヌ,CONFIRMED,manual_ocr
104,ネ,CONFIRMED,manual_ocr
105,ノ,CONFIRMED,manual_ocr
106,ハ,CONFIRMED,manual_ocr
107,ヒ,CONFIRMED,manual_ocr
108,フ,CONFIRMED,manual_ocr
109,ヘ,CONFIRMED,manual_ocr
110,ホ,CONFIRMED,manual_ocr
111,マ,CONFIRMED,manual_ocr
112,ミ,CONFIRMED,manual_ocr
113,ム,CONFIRMED,manual_ocr
114,メ,CONFIRMED,manual_ocr
115,モ,CONFIRMED,manual_ocr
116,ヤ,CONFIRMED,manual_ocr
117,ユ,CONFIRMED,manual_ocr
118,ヨ,CONFIRMED,manual_ocr
119,ラ,CONFIRMED,manual_ocr
120,リ,CONFIRMED,manual_ocr
121,ル,CONFIRMED,manual_ocr
122,レ,CONFIRMED,manual_ocr
123,ロ,CONFIRMED,manual_ocr
124,ワ,CONFIRMED,manual_ocr
125,ヲ,CONFIRMED,manual_ocr
126,ン,CONFIRMED,manual_ocr
127,ガ,CONFIRMED,manual_ocr
128,ギ,CONFIRMED,manual_ocr
129,グ,CONFIRMED,manual_ocr
130,ゲ,CONFIRMED,manual_ocr
131,ゴ,CONFIRMED,manual_ocr
132,ザ,CONFIRMED,manual_ocr
133,ジ,CONFIRMED,manual_ocr
134,ズ,CONFIRMED,manual_ocr
135,ゼ,CONFIRMED,manual_ocr
136,ゾ,CONFIRMED,manual_ocr
137,ダ,CONFIRMED,manual_ocr
138,ヂ,CONFIRMED,manual_ocr
139,ヅ,CONFIRMED,manual_ocr
140,デ,CONFIRMED,manual_ocr
141,ド,CONFIRMED,manual_ocr
142,バ,CONFIRMED,manual_ocr
143,ビ,CONFIRMED,manual_ocr
144,ブ,CONFIRMED,manual_ocr
145,ベ,CONFIRMED,manual_ocr
146,ボ,CONFIRMED,manual_ocr
147,パ,CONFIRMED,manual_ocr
148,ピ,CONFIRMED,manual_ocr
149,プ,CONFIRMED,manual_ocr
150,ペ,CONFIRMED,manual_ocr
151,ポ,CONFIRMED,manual_ocr
152,ァ,CONFIRMED,manual_ocr
153,ィ,CONFIRMED,manual_ocr
154,ゥ,CONFIRMED,manual_ocr
155,ェ,CONFIRMED,manual_ocr
156,ォ,CONFIRMED,manual_ocr
157,ャ,CONFIRMED,manual_ocr
158,ュ,CONFIRMED,manual_ocr
159,ョ,CONFIRMED,manual_ocr
160,ッ,CONFIRMED,manual_ocr
161,.,CONFIRMED,manual_ocr
162,×,CONFIRMED,manual_ocr
163,%,CONFIRMED,manual_ocr
164,&,CONFIRMED,manual_ocr
165,*,CONFIRMED,manual_ocr
166,☆,CONFIRMED,manual_ocr
167,○,CONFIRMED,manual_ocr
168,○,CONFIRMED,manual_ocr
169,◎,CONFIRMED,manual_ocr
170,◇,CONFIRMED,manual_ocr
171,■,CONFIRMED,manual_ocr
172,△,CONFIRMED,manual_ocr
173,▽,CONFIRMED,manual_ocr
174,▼,CONFIRMED,manual_ocr
175,→,CONFIRMED,manual_ocr
176,ヵ,CONFIRMED,manual_ocr
177,ヶ,CONFIRMED,manual_ocr
178,々,CONFIRMED,manual_ocr
179,ー,CONFIRMED,manual_ocr
180,愛,CONFIRMED,manual_ocr
181,悪,CONFIRMED,manual_ocr
182,安,CONFIRMED,manual_ocr
183,暗,CONFIRMED,manual_ocr
184,案,CONFIRMED,manual_ocr
185,闇,CONFIRMED,manual_ocr
186,以,CONFIRMED,manual_ocr
187,位,CONFIRMED,manual_ocr
188,威,CONFIRMED,manual_ocr
189,意,CONFIRMED,manual_ocr
190,異,CONFIRMED,manual_ocr
191,移,CONFIRMED,manual_ocr
192,違,CONFIRMED,manual_ocr
193,遺,CONFIRMED,manual_ocr
194,井,CONFIRMED,manual_ocr
195,育,CONFIRMED,manual_ocr
196,一,CONFIRMED,manual_ocr
197,印,CONFIRMED,manual_ocr
198,員,CONFIRMED,manual_ocr
199,因,CONFIRMED,manual_ocr
200,引,CONFIRMED,manual_ocr
201,飲,CONFIRMED,manual_ocr
202,右,CONFIRMED,manual_ocr
203,羽,CONFIRMED,manual_ocr
204,運,CONFIRMED,manual_ocr
205,雲,CONFIRMED,manual_ocr
206,影,CONFIRMED,manual_ocr
207,栄,CONFIRMED,manual_ocr
208,炎,CONFIRMED,manual_ocr
209,汚,CONFIRMED,manual_ocr
210,奥,CONFIRMED,manual_ocr
211,応,CONFIRMED,manual_ocr
212,横,CONFIRMED,manual_ocr
213,王,CONFIRMED,manual_ocr
214,黄,CONFIRMED,manual_ocr
215,屋,CONFIRMED,manual_ocr
216,憶,CONFIRMED,manual_ocr
217,音,CONFIRMED,manual_ocr
218,下,CONFIRMED,manual_ocr
219,化,CONFIRMED,manual_ocr
220,仮,CONFIRMED,manual_ocr
221,何,CONFIRMED,manual_ocr
222,可,CONFIRMED,manual_ocr
223,夏,CONFIRMED,manual_ocr
224,家,CONFIRMED,manual_ocr
225,果,CONFIRMED,manual_ocr
226,歌,CONFIRMED,manual_ocr
227,河,CONFIRMED,manual_ocr
228,火,CONFIRMED,manual_ocr
229,花,CONFIRMED,manual_ocr
230,過,CONFIRMED,manual_ocr
231,画,CONFIRMED,manual_ocr
232,芽,CONFIRMED,manual_ocr
233,会,CONFIRMED,manual_ocr
234,解,CONFIRMED,manual_ocr
235,回,CONFIRMED,manual_ocr
236,快,CONFIRMED,manual_ocr
237,界,CONFIRMED,manual_ocr
238,開,CONFIRMED,manual_ocr
239,階,CONFIRMED,manual_ocr
240,貝,CONFIRMED,manual_ocr
241,外,CONFIRMED,manual_ocr
242,害,CONFIRMED,manual_ocr
243,格,CONFIRMED,manual_ocr
244,殻,CONFIRMED,manual_ocr
245,確,CONFIRMED,manual_ocr
246,覚,CONFIRMED,manual_ocr
247,角,CONFIRMED,manual_ocr
248,楽,CONFIRMED,manual_ocr
249,割,CONFIRMED,manual_ocr
250,活,CONFIRMED,manual_ocr
251,巻,CONFIRMED,manual_ocr
252,完,CONFIRMED,manual_ocr
253,感,CONFIRMED,manual_ocr
254,環,CONFIRMED,manual_ocr
255,管,CONFIRMED,manual_ocr
256,間,CONFIRMED,manual_ocr
257,関,CONFIRMED,manual_ocr
258,館,CONFIRMED,manual_ocr
259,岸,CONFIRMED,manual_ocr
260,眼,CONFIRMED,manual_ocr
261,岩,CONFIRMED,manual_ocr
262,願,CONFIRMED,manual_ocr
263,危,CONFIRMED,manual_ocr
264,喜,CONFIRMED,manual_ocr
265,器,CONFIRMED,manual_ocr
266,奇,CONFIRMED,manual_ocr
267,寄,CONFIRMED,manual_ocr
268,期,CONFIRMED,manual_ocr
269,帰,CONFIRMED,manual_ocr
270,気,CONFIRMED,manual_ocr
271,記,CONFIRMED,manual_ocr
272,起,CONFIRMED,manual_ocr
273,輝,CONFIRMED,manual_ocr
274,鬼,CONFIRMED,manual_ocr
275,技,CONFIRMED,manual_ocr
276,義,CONFIRMED,manual_ocr
277,議,CONFIRMED,manual_ocr
278,客,CONFIRMED,manual_ocr
279,脚,CONFIRMED,manual_ocr
280,休,CONFIRMED,manual_ocr
281,及,CONFIRMED,manual_ocr
282,吸,CONFIRMED,manual_ocr
283,急,CONFIRMED,manual_ocr
284,救,CONFIRMED,manual_ocr
285,求,CONFIRMED,manual_ocr
286,泣,CONFIRMED,manual_ocr
287,球,CONFIRMED,manual_ocr
288,究,CONFIRMED,manual_ocr
289,級,CONFIRMED,manual_ocr
290,牛,CONFIRMED,manual_ocr
291,去,CONFIRMED,manual_ocr
292,居,CONFIRMED,manual_ocr
293,巨,CONFIRMED,manual_ocr
294,許,CONFIRMED,manual_ocr
295,供,CONFIRMED,manual_ocr
296,共,CONFIRMED,manual_ocr
297,協,CONFIRMED,manual_ocr
298,叫,CONFIRMED,manual_ocr
299,境,CONFIRMED,manual_ocr
300,強,CONFIRMED,manual_ocr
301,教,CONFIRMED,manual_ocr
302,狂,CONFIRMED,manual_ocr
303,曲,CONFIRMED,manual_ocr
304,極,CONFIRMED,manual_ocr
305,玉,CONFIRMED,manual_ocr
306,禁,CONFIRMED,manual_ocr
307,近,CONFIRMED,manual_ocr
308,金,CONFIRMED,manual_ocr
309,銀,CONFIRMED,manual_ocr
310,駆,CONFIRMED,manual_ocr
311,具,CONFIRMED,manual_ocr
312,空,CONFIRMED,manual_ocr
313,靴,CONFIRMED,manual_ocr
314,繰,CONFIRMED,manual_ocr
315,軍,CONFIRMED,manual_ocr
316,係,CONFIRMED,manual_ocr
317,兄,CONFIRMED,manual_ocr
318,型,CONFIRMED,manual_ocr
319,形,CONFIRMED,manual_ocr
320,恵,CONFIRMED,manual_ocr
321,系,CONFIRMED,manual_ocr
322,経,CONFIRMED,manual_ocr
323,計,CONFIRMED,manual_ocr
324,軽,CONFIRMED,manual_ocr
325,撃,CONFIRMED,manual_ocr
326,激,CONFIRMED,manual_ocr
327,欠,CONFIRMED,manual_ocr
328,決,CONFIRMED,manual_ocr
329,穴,CONFIRMED,manual_ocr
330,結,CONFIRMED,manual_ocr
331,月,CONFIRMED,manual_ocr
332,件,CONFIRMED,manual_ocr
333,健,CONFIRMED,manual_ocr
334,剣,CONFIRMED,manual_ocr
335,建,CONFIRMED,manual_ocr
336,拳,CONFIRMED,manual_ocr
337,見,CONFIRMED,manual_ocr
338,険,CONFIRMED,manual_ocr
339,験,CONFIRMED,manual_ocr
340,元,CONFIRMED,manual_ocr
341,原,CONFIRMED,manual_ocr
342,幻,CONFIRMED,manual_ocr
343,減,CONFIRMED,manual_ocr
344,現,CONFIRMED,manual_ocr
345,言,CONFIRMED,manual_ocr
346,限,CONFIRMED,manual_ocr
347,個,CONFIRMED,manual_ocr
348,古,CONFIRMED,manual_ocr
349,固,CONFIRMED,manual_ocr
350,己,CONFIRMED,manual_ocr
351,戸,CONFIRMED,manual_ocr
352,鼓,CONFIRMED,manual_ocr
353,後,CONFIRMED,manual_ocr
354,御,CONFIRMED,manual_ocr
355,語,CONFIRMED,manual_ocr
356,光,CONFIRMED,manual_ocr
357,公,CONFIRMED,manual_ocr
358,功,CONFIRMED,manual_ocr
359,効,CONFIRMED,manual_ocr
360,口,CONFIRMED,manual_ocr
361,向,CONFIRMED,manual_ocr
362,好,CONFIRMED,manual_ocr
363,幸,CONFIRMED,manual_ocr
364,広,CONFIRMED,manual_ocr
365,康,CONFIRMED,manual_ocr
366,抗,CONFIRMED,manual_ocr
367,攻,CONFIRMED,manual_ocr
368,更,CONFIRMED,manual_ocr
369,構,CONFIRMED,manual_ocr
370,硬,CONFIRMED,manual_ocr
371,考,CONFIRMED,manual_ocr
372,行,CONFIRMED,manual_ocr
373,高,CONFIRMED,manual_ocr
374,剛,CONFIRMED,manual_ocr
375,号,CONFIRMED,manual_ocr
376,合,CONFIRMED,manual_ocr
377,告,CONFIRMED,manual_ocr
378,国,CONFIRMED,manual_ocr
379,黒,CONFIRMED,manual_ocr
380,込,CONFIRMED,manual_ocr
381,今,CONFIRMED,manual_ocr
382,根,CONFIRMED,manual_ocr
383,混,CONFIRMED,manual_ocr
384,左,CONFIRMED,manual_ocr
385,査,CONFIRMED,manual_ocr
386,再,CONFIRMED,manual_ocr
387,最,CONFIRMED,manual_ocr
388,災,CONFIRMED,manual_ocr
389,細,CONFIRMED,manual_ocr
390,菜,CONFIRMED,manual_ocr
391,際,CONFIRMED,manual_ocr
392,在,CONFIRMED,manual_ocr
393,作,CONFIRMED,manual_ocr
394,削,CONFIRMED,manual_ocr
395,昨,CONFIRMED,manual_ocr
396,札,CONFIRMED,manual_ocr
397,殺,CONFIRMED,manual_ocr
398,山,CONFIRMED,manual_ocr
399,斬,CONFIRMED,manual_ocr
400,残,CONFIRMED,manual_ocr
401,使,CONFIRMED,manual_ocr
402,刺,CONFIRMED,manual_ocr
403,司,CONFIRMED,manual_ocr
404,史,CONFIRMED,manual_ocr
405,士,CONFIRMED,manual_ocr
406,始,CONFIRMED,manual_ocr
407,姿,CONFIRMED,manual_ocr
408,子,CONFIRMED,manual_ocr
409,師,CONFIRMED,manual_ocr
410,思,CONFIRMED,manual_ocr
411,指,CONFIRMED,manual_ocr
412,支,CONFIRMED,manual_ocr
413,止,CONFIRMED,manual_ocr
414,死,CONFIRMED,manual_ocr
415,私,CONFIRMED,manual_ocr
416,紙,CONFIRMED,manual_ocr
417,紫,CONFIRMED,manual_ocr
418,視,CONFIRMED,manual_ocr
419,歯,CONFIRMED,manual_ocr
420,事,CONFIRMED,manual_ocr
421,字,CONFIRMED,manual_ocr
422,持,CONFIRMED,manual_ocr
423,時,CONFIRMED,manual_ocr
424,次,CONFIRMED,manual_ocr
425,示,CONFIRMED,manual_ocr
426,耳,CONFIRMED,manual_ocr
427,自,CONFIRMED,manual_ocr
428,七,CONFIRMED,manual_ocr
429,室,CONFIRMED,manual_ocr
430,実,CONFIRMED,manual_ocr
431,芝,CONFIRMED,manual_ocr
432,射,CONFIRMED,manual_ocr
433,者,CONFIRMED,manual_ocr
434,車,CONFIRMED,manual_ocr
435,邪,CONFIRMED,manual_ocr
436,弱,CONFIRMED,manual_ocr
437,主,CONFIRMED,manual_ocr
438,守,CONFIRMED,manual_ocr
439,手,CONFIRMED,manual_ocr
440,種,CONFIRMED,manual_ocr
441,酒,CONFIRMED,manual_ocr
442,首,CONFIRMED,manual_ocr
443,受,CONFIRMED,manual_ocr
444,呪,CONFIRMED,manual_ocr
445,樹,CONFIRMED,manual_ocr
446,収,CONFIRMED,manual_ocr
447,秋,CONFIRMED,manual_ocr
448,終,CONFIRMED,manual_ocr
449,週,CONFIRMED,manual_ocr
450,集,CONFIRMED,manual_ocr
451,住,CONFIRMED,manual_ocr
452,重,CONFIRMED,manual_ocr
453,銃,CONFIRMED,manual_ocr
454,祝,CONFIRMED,manual_ocr
455,出,CONFIRMED,manual_ocr
456,術,CONFIRMED,manual_ocr
457,春,CONFIRMED,manual_ocr
458,準,CONFIRMED,manual_ocr
459,初,CONFIRMED,manual_ocr
460,所,CONFIRMED,manual_ocr
461,書,CONFIRMED,manual_ocr
462,助,CONFIRMED,manual_ocr
463,女,CONFIRMED,manual_ocr
464,除,CONFIRMED,manual_ocr
465,傷,CONFIRMED,manual_ocr
466,勝,CONFIRMED,manual_ocr
467,商,CONFIRMED,manual_ocr
468,将,CONFIRMED,manual_ocr
469,小,CONFIRMED,manual_ocr
470,少,CONFIRMED,manual_ocr
471,掌,CONFIRMED,manual_ocr
472,昇,CONFIRMED,manual_ocr
473,晶,CONFIRMED,manual_ocr
474,消,CONFIRMED,manual_ocr
475,焼,CONFIRMED,manual_ocr
476,称,CONFIRMED,manual_ocr
477,笑,CONFIRMED,manual_ocr
478,衝,CONFIRMED,manual_ocr
479,証,CONFIRMED,manual_ocr
480,象,CONFIRMED,manual_ocr
481,賞,CONFIRMED,manual_ocr
482,上,CONFIRMED,manual_ocr
483,乗,CONFIRMED,manual_ocr
484,場,CONFIRMED,manual_ocr
485,常,CONFIRMED,manual_ocr
486,情,CONFIRMED,manual_ocr
487,条,CONFIRMED,manual_ocr
488,状,CONFIRMED,manual_ocr
489,錠,CONFIRMED,manual_ocr
490,飾,CONFIRMED,manual_ocr
491,植,CONFIRMED,manual_ocr
492,色,CONFIRMED,manual_ocr
493,食,CONFIRMED,manual_ocr
494,信,CONFIRMED,manual_ocr
495,心,CONFIRMED,manual_ocr
496,新,CONFIRMED,manual_ocr
497,森,CONFIRMED,manual_ocr
498,深,CONFIRMED,manual_ocr
499,真,CONFIRMED,manual_ocr
500,神,CONFIRMED,manual_ocr
501,親,CONFIRMED,manual_ocr
502,身,CONFIRMED,manual_ocr
503,進,CONFIRMED,manual_ocr
504,針,CONFIRMED,manual_ocr
505,震,CONFIRMED,manual_ocr
506,人,CONFIRMED,manual_ocr
507,刃,CONFIRMED,manual_ocr
508,尽,CONFIRMED,manual_ocr
509,図,CONFIRMED,manual_ocr
510,吹,CONFIRMED,manual_ocr
511,水,CONFIRMED,manual_ocr
512,睡,CONFIRMED,manual_ocr
513,数,CONFIRMED,manual_ocr
514,世,CONFIRMED,manual_ocr
